academic_structure,semester,course_code,course_title,prerequisite,prerequisite_status,credits,basket_code,basket_name,source_sheet,source_row
Sem_Spread_2024,S6,DATA404/DATA406,SPT-Course #2-Multi Modal Learning/Big Data Framework,DATA302/NIL,specified,4,B5,Specialization Tracks,Sem_Spread_2024,18
Sem_Spread_2024,S7,DATA403,SPT-Course #3 (Natural Language Processing / Natural Language Processing),DATA302,specified,4,B5,Specialization Tracks,Sem_Spread_2024,18
Sem_Spread_2024,S7,DATA408/COMP402,SPT-Course #4 (Advanced Topics in Deep Learning LTP: 3-0-2/ Software Architecture and Deployments LTP: 2-0-4),"DATA302/ COMP205, COMP401",specified,4,B5,Specialization Tracks,Sem_Spread_2024,19
Sem_Spread_2024,S7,DATA405,SPT-Course #5 Reinforcement Learning/Reinforcement Learning,"MATH202, MATH204",specified,4,B5,Specialization Tracks,Sem_Spread_2024,20
Sem_Spread_2024,S5,DATA801,Summer Training/Internship,NIL,none,2,B7,Internship/ Capstone Project,Sem_Spread_2024,23
Sem_Spread_2024,S7,DATA802,Interdisciplinary Project,NIL,none,4,B7,Internship/ Capstone Project,Sem_Spread_2024,23
Sem_Spread_2024,S8,DATA803,Capstone Project/Industrial Internship,NIL,none,12,B7,Internship/ Capstone Project,Sem_Spread_2024,23
Sem_Spread_2025,S1,UCOR103,Communication Skills,Nil,none,2,B1,Univ Core,Sem_Spread_2025,3
Sem_Spread_2025,S2,UCOR111,Environmental Studies and Sustainability,NIL,none,2,B1,Univ Core,Sem_Spread_2025,3
Sem_Spread_2025,S3,UCOR207,Analytical Academic Writing,NIL,none,3,B1,Univ Core,Sem_Spread_2025,3
Sem_Spread_2025,S4,UCOR205,Socio-Cultural Perspectives on Indian Life,Nil,none,3,B1,Univ Core,Sem_Spread_2025,3
Sem_Spread_2025,S5,UCOR310,Critical Thinking,NIL,none,3,B1,Univ Core,Sem_Spread_2025,3
Sem_Spread_2025,S6,UCOR215,Humanistic Leadership Development,NIL,none,2,B1,Univ Core,Sem_Spread_2025,3
Sem_Spread_2025,S1,UCOR106,Learning to Learn,NIL,none,2,B1,Univ Core,Sem_Spread_2025,4
Sem_Spread_2025,S2,LAWS101,Fundamentals of Indian Constitution and Human Rights,NIL,none,2,B1,Univ Core,Sem_Spread_2025,4
Sem_Spread_2025,S5,UCOR104,Problem Solving with Design Thinking,NIL,none,2,B1,Univ Core,Sem_Spread_2025,4
Sem_Spread_2025,S2,UCOR701,Community Engagement & Service Experience,NIL,none,1,B1,Univ Core,Sem_Spread_2025,5
Sem_Spread_2025,S3,SLAD206,Human Values in Work and Life,Nil,none,2,B1,Univ Core,Sem_Spread_2025,5
Sem_Spread_2025,S1,MATH208,Multivariate Calculus,Nil,none,4,B2,Foundation,Sem_Spread_2025,7
Sem_Spread_2025,S2,MATH203,Probability and Statistics,NIL,none,4,B2,Foundation,Sem_Spread_2025,7
Sem_Spread_2025,S3,MATH209,Linear Algebra,NIL,none,4,B2,Foundation,Sem_Spread_2025,7
Sem_Spread_2025,S6,TBA,Language,NIL,none,2,B2,Foundation,Sem_Spread_2025,7
Sem_Spread_2025,S2,MTSC211,Sustainable Smart Materials,MTSC111,specified,3,B2,Foundation,Sem_Spread_2025,8
Sem_Spread_2025,S4,MATH206,Advanced Statistical Analysis and Research Methods with R,MATH203,specified,2,B2,Foundation,Sem_Spread_2025,8
Sem_Spread_2025,S1,MTSC111,Materials for Smart Devices,Nil,none,3,B2,Foundation,Sem_Spread_2025,9
Sem_Spread_2025,S2,COMP132,Design Workshop,Nil,none,2,B2,Foundation,Sem_Spread_2025,9
Sem_Spread_2025,S1,DATA103,Programming in Python,Nil,none,3,B3,Program CORE,Sem_Spread_2025,12
Sem_Spread_2025,S2,COMP201,Data Structures,NIL,none,4,B3,Program CORE,Sem_Spread_2025,12
Sem_Spread_2025,S4,COMP207,Operating Systems,Nil,none,3,B3,Program CORE,Sem_Spread_2025,12
Sem_Spread_2025,S5,COMP206,Microprocessors and Computer Architecture,"COMP204, COMP207",specified,4,B3,Program CORE,Sem_Spread_2025,12
Sem_Spread_2025,S1,COMP204,Digital Design and Computer Organization,NIL,none,4,B3,Program CORE,Sem_Spread_2025,13
Sem_Spread_2025,S2,DATA132,Data Visualization and Storytelling,DATA103,specified,3,B3,Program CORE,Sem_Spread_2025,13
